loop,domain,checks,result,new_findings
185,domain_localization,4,PASS,0
186,domain_geometry,16,PASS,0
187,domain_safety,31,PASS,0
188,domain_workflows,1,PASS,0
189,domain_scaling_theme,7,PASS,0
190,domain_lifecycle,2,PASS,0
191,domain_navigation,8,PASS,0
192,domain_dialog_inventory,5,PASS,0
193,domain_accessibility,6,PASS,0
194,domain_keyboard,3,PASS,0
195,domain_localization,4,PASS,0
196,domain_geometry,9,PASS,0
197,domain_safety,3,PASS,0
198,domain_workflows,1,PASS,0
199,domain_scaling_theme,7,PASS,0
200,domain_lifecycle,2,PASS,0
201,domain_navigation,8,PASS,0
202,domain_dialog_inventory,5,PASS,0
203,domain_accessibility,5,PASS,0
204,domain_keyboard,3,PASS,0
205,domain_localization,4,PASS,0
206,domain_geometry,18,PASS,0
207,domain_safety,6,PASS,0
208,domain_workflows,1,PASS,0
209,domain_scaling_theme,7,PASS,0
210,domain_lifecycle,2,PASS,0
211,domain_navigation,8,PASS,0
212,domain_dialog_inventory,5,PASS,0
213,domain_accessibility,4,PASS,0
214,domain_keyboard,3,PASS,0
215,domain_localization,4,PASS,0
216,domain_geometry,5,PASS,0
217,domain_safety,3,PASS,0
218,domain_workflows,2,PASS,0
219,domain_scaling_theme,7,PASS,0
220,domain_lifecycle,2,PASS,0
221,domain_navigation,8,PASS,0
222,domain_dialog_inventory,5,PASS,0
223,domain_accessibility,0,PASS,0
224,domain_keyboard,3,PASS,0
225,domain_localization,4,PASS,0
226,domain_geometry,7,PASS,0
227,domain_safety,5,PASS,0
228,domain_workflows,1,PASS,0
229,domain_scaling_theme,7,PASS,0
230,domain_lifecycle,2,PASS,0
231,domain_navigation,8,PASS,0
232,domain_dialog_inventory,5,PASS,0
233,domain_accessibility,1,PASS,0
234,domain_keyboard,3,PASS,0
235,domain_localization,4,PASS,0
236,domain_geometry,2,PASS,0
237,domain_safety,4,PASS,0
238,domain_workflows,1,PASS,0
239,domain_scaling_theme,7,PASS,0
240,domain_lifecycle,2,PASS,0
241,domain_navigation,8,PASS,0
242,domain_dialog_inventory,5,PASS,0
243,domain_accessibility,1,PASS,0
244,domain_keyboard,3,PASS,0
245,domain_localization,4,PASS,0
246,domain_geometry,63,PASS,0
247,domain_safety,12,PASS,0
248,domain_workflows,2,PASS,0
249,domain_scaling_theme,7,PASS,0
250,domain_lifecycle,2,PASS,0
251,domain_navigation,8,PASS,0
252,domain_dialog_inventory,5,PASS,0
253,domain_accessibility,1,PASS,0
254,domain_keyboard,3,PASS,0
255,domain_localization,4,PASS,0
256,domain_geometry,5,PASS,0
257,domain_safety,12,PASS,0
258,domain_workflows,1,PASS,0
259,domain_scaling_theme,8,PASS,0
260,domain_lifecycle,2,PASS,0
261,domain_navigation,8,PASS,0
262,domain_dialog_inventory,5,PASS,0
263,domain_accessibility,0,PASS,0
264,domain_keyboard,3,PASS,0
265,domain_localization,4,PASS,0
266,domain_geometry,9,PASS,0
267,domain_safety,3,PASS,0
268,domain_workflows,1,PASS,0
269,domain_scaling_theme,7,PASS,0
270,domain_lifecycle,2,PASS,0
271,domain_navigation,8,PASS,0
272,domain_dialog_inventory,5,PASS,0
273,domain_accessibility,1,PASS,0
274,domain_keyboard,3,PASS,0
275,domain_localization,4,PASS,0
276,domain_geometry,26,PASS,0
277,domain_safety,13,PASS,0
278,domain_workflows,1,PASS,0
279,domain_scaling_theme,7,PASS,0
280,domain_lifecycle,2,PASS,0
281,domain_navigation,8,PASS,0
282,domain_dialog_inventory,5,PASS,0
283,domain_accessibility,4,PASS,0
284,domain_keyboard,3,PASS,0
285,domain_localization,4,PASS,0
286,domain_geometry,32,PASS,0
287,domain_safety,8,PASS,0
288,domain_workflows,1,PASS,0
289,domain_scaling_theme,7,PASS,0
290,domain_lifecycle,2,PASS,0
291,domain_navigation,8,PASS,0
292,domain_dialog_inventory,5,PASS,0
293,domain_accessibility,0,PASS,0
294,domain_keyboard,3,PASS,0
295,domain_localization,4,PASS,0
296,domain_geometry,55,PASS,0
297,domain_safety,5,PASS,0
298,domain_workflows,1,PASS,0
299,domain_scaling_theme,7,PASS,0
300,domain_lifecycle,2,PASS,0
301,domain_navigation,8,PASS,0
302,domain_dialog_inventory,5,PASS,0
303,domain_accessibility,3,PASS,0
304,domain_keyboard,3,PASS,0
305,domain_localization,4,PASS,0
306,domain_geometry,18,PASS,0
307,domain_safety,7,PASS,0
308,domain_workflows,1,PASS,0
309,domain_scaling_theme,7,PASS,0
310,domain_lifecycle,2,PASS,0
311,domain_navigation,8,PASS,0
312,domain_dialog_inventory,5,PASS,0
313,domain_accessibility,2,PASS,0
314,domain_keyboard,3,PASS,0
315,domain_localization,4,PASS,0
316,domain_geometry,9,PASS,0
317,domain_safety,9,PASS,0
318,domain_workflows,2,PASS,0
319,domain_scaling_theme,7,PASS,0
320,domain_lifecycle,2,PASS,0
321,domain_navigation,8,PASS,0
322,domain_dialog_inventory,5,PASS,0
323,domain_accessibility,9,PASS,0
324,domain_keyboard,3,PASS,0
325,domain_localization,4,PASS,0
326,domain_geometry,33,PASS,0
327,domain_safety,5,PASS,0
328,domain_workflows,1,PASS,0
329,domain_scaling_theme,7,PASS,0
330,domain_lifecycle,2,PASS,0
331,domain_navigation,8,PASS,0
332,domain_dialog_inventory,5,PASS,0
333,domain_accessibility,4,PASS,0
334,domain_keyboard,3,PASS,0
335,domain_localization,4,PASS,0
336,domain_geometry,15,PASS,0
337,domain_safety,14,PASS,0
338,domain_workflows,1,PASS,0
339,domain_scaling_theme,7,PASS,0
340,domain_lifecycle,2,PASS,0
341,domain_navigation,8,PASS,0
342,domain_dialog_inventory,5,PASS,0
343,domain_accessibility,1,PASS,0
344,domain_keyboard,3,PASS,0
345,domain_localization,4,PASS,0
346,domain_geometry,6,PASS,0
347,domain_safety,6,PASS,0
348,domain_workflows,2,PASS,0
349,domain_scaling_theme,7,PASS,0
350,domain_lifecycle,2,PASS,0
351,domain_navigation,8,PASS,0
352,domain_dialog_inventory,5,PASS,0
353,domain_accessibility,2,PASS,0
354,domain_keyboard,3,PASS,0
355,domain_localization,4,PASS,0
356,domain_geometry,89,PASS,0
357,domain_safety,10,PASS,0
358,domain_workflows,1,PASS,0
359,domain_scaling_theme,7,PASS,0
360,domain_lifecycle,2,PASS,0
361,domain_navigation,8,PASS,0
362,domain_dialog_inventory,5,PASS,0
363,domain_accessibility,9,PASS,0
364,domain_keyboard,3,PASS,0
365,domain_localization,4,PASS,0
366,domain_geometry,32,PASS,0
367,domain_safety,2,PASS,0
368,domain_workflows,1,PASS,0
369,domain_scaling_theme,7,PASS,0
370,domain_lifecycle,2,PASS,0
371,domain_navigation,8,PASS,0
372,domain_dialog_inventory,5,PASS,0
373,domain_accessibility,7,PASS,0
374,domain_keyboard,3,PASS,0
375,domain_localization,4,PASS,0
376,domain_geometry,18,PASS,0
377,domain_safety,26,PASS,0
378,domain_workflows,1,PASS,0
379,domain_scaling_theme,7,PASS,0
380,domain_lifecycle,2,PASS,0
381,domain_navigation,8,PASS,0
382,domain_dialog_inventory,5,PASS,0
383,domain_accessibility,2,PASS,0
384,domain_keyboard,3,PASS,0
385,domain_localization,4,PASS,0
386,domain_geometry,6,PASS,0
387,domain_safety,3,PASS,0
388,domain_workflows,1,PASS,0
389,domain_scaling_theme,7,PASS,0
390,domain_lifecycle,2,PASS,0
391,domain_navigation,8,PASS,0
392,domain_dialog_inventory,5,PASS,0
393,domain_accessibility,2,PASS,0
394,domain_keyboard,3,PASS,0
395,domain_localization,4,PASS,0
396,domain_geometry,9,PASS,0
397,domain_safety,5,PASS,0
398,domain_workflows,1,PASS,0
399,domain_scaling_theme,7,PASS,0
400,domain_lifecycle,2,PASS,0
401,domain_navigation,8,PASS,0
402,domain_dialog_inventory,5,PASS,0
403,domain_accessibility,1,PASS,0
404,domain_keyboard,3,PASS,0
405,domain_localization,4,PASS,0
406,domain_geometry,19,PASS,0
407,domain_safety,8,PASS,0
408,domain_workflows,1,PASS,0
409,domain_scaling_theme,7,PASS,0
410,domain_lifecycle,2,PASS,0
411,domain_navigation,8,PASS,0
412,domain_dialog_inventory,5,PASS,0
413,domain_accessibility,1,PASS,0
414,domain_keyboard,3,PASS,0
415,domain_localization,4,PASS,0
416,domain_geometry,34,PASS,0
417,domain_safety,4,PASS,0
418,domain_workflows,2,PASS,0
419,domain_scaling_theme,7,PASS,0
420,domain_lifecycle,2,PASS,0
421,domain_navigation,8,PASS,0
422,domain_dialog_inventory,5,PASS,0
423,domain_accessibility,3,PASS,0
424,domain_keyboard,3,PASS,0
425,domain_localization,4,PASS,0
426,domain_geometry,13,PASS,0
427,domain_safety,5,PASS,0
428,domain_workflows,1,PASS,0
429,domain_scaling_theme,7,PASS,0
430,domain_lifecycle,2,PASS,0
431,domain_navigation,8,PASS,0
432,domain_dialog_inventory,5,PASS,0
433,domain_accessibility,6,PASS,0
434,domain_keyboard,3,PASS,0
435,domain_localization,4,PASS,0
436,domain_geometry,8,PASS,0
437,domain_safety,4,PASS,0
438,domain_workflows,1,PASS,0
439,domain_scaling_theme,7,PASS,0
440,domain_lifecycle,2,PASS,0
441,domain_navigation,8,PASS,0
442,domain_dialog_inventory,5,PASS,0
443,domain_accessibility,7,PASS,0
444,domain_keyboard,3,PASS,0
445,domain_localization,4,PASS,0
446,domain_geometry,32,PASS,0
447,domain_safety,6,PASS,0
448,domain_workflows,2,PASS,0
449,domain_scaling_theme,7,PASS,0
450,domain_lifecycle,2,PASS,0
451,domain_navigation,8,PASS,0
452,domain_dialog_inventory,5,PASS,0
453,domain_accessibility,4,PASS,0
454,domain_keyboard,3,PASS,0
455,domain_localization,4,PASS,0
456,domain_geometry,9,PASS,0
457,domain_safety,5,PASS,0
458,domain_workflows,1,PASS,0
459,domain_scaling_theme,7,PASS,0
460,domain_lifecycle,2,PASS,0
461,domain_navigation,8,PASS,0
462,domain_dialog_inventory,5,PASS,0
463,domain_accessibility,4,PASS,0
464,domain_keyboard,3,PASS,0
465,domain_localization,4,PASS,0
466,domain_geometry,7,PASS,0
467,domain_safety,10,PASS,0
468,domain_workflows,1,PASS,0
469,domain_scaling_theme,7,PASS,0
470,domain_lifecycle,2,PASS,0
471,domain_navigation,8,PASS,0
472,domain_dialog_inventory,5,PASS,0
473,domain_accessibility,1,PASS,0
474,domain_keyboard,3,PASS,0
475,domain_localization,4,PASS,0
476,domain_geometry,7,PASS,0
477,domain_safety,6,PASS,0
478,domain_workflows,1,PASS,0
479,domain_scaling_theme,7,PASS,0
480,domain_lifecycle,2,PASS,0
481,domain_navigation,8,PASS,0
482,domain_dialog_inventory,5,PASS,0
483,domain_accessibility,7,PASS,0
484,domain_keyboard,3,PASS,0
485,domain_localization,4,PASS,0
486,domain_geometry,5,PASS,0
487,domain_safety,4,PASS,0
488,domain_workflows,1,PASS,0
489,domain_scaling_theme,7,PASS,0
490,domain_lifecycle,2,PASS,0
491,domain_navigation,8,PASS,0
492,domain_dialog_inventory,5,PASS,0
493,domain_accessibility,11,PASS,0
494,domain_keyboard,3,PASS,0
495,domain_localization,4,PASS,0
496,domain_geometry,16,PASS,0
497,domain_safety,31,PASS,0
498,domain_workflows,1,PASS,0
499,domain_scaling_theme,7,PASS,0
500,domain_lifecycle,2,PASS,0
501,domain_navigation,8,PASS,0
502,domain_dialog_inventory,5,PASS,0
503,domain_accessibility,6,PASS,0
504,domain_keyboard,3,PASS,0
505,domain_localization,4,PASS,0
506,domain_geometry,9,PASS,0
507,domain_safety,3,PASS,0
508,domain_workflows,1,PASS,0
509,domain_scaling_theme,8,PASS,0
510,domain_lifecycle,2,PASS,0
511,domain_navigation,8,PASS,0
512,domain_dialog_inventory,5,PASS,0
513,domain_accessibility,5,PASS,0
514,domain_keyboard,3,PASS,0
515,domain_localization,4,PASS,0
516,domain_geometry,18,PASS,0
517,domain_safety,4,PASS,0
518,domain_workflows,2,PASS,0
519,domain_scaling_theme,7,PASS,0
520,domain_lifecycle,2,PASS,0
521,domain_navigation,8,PASS,0
522,domain_dialog_inventory,5,PASS,0
523,domain_accessibility,4,PASS,0
524,domain_keyboard,3,PASS,0
525,domain_localization,4,PASS,0
526,domain_geometry,5,PASS,0
527,domain_safety,3,PASS,0
528,domain_workflows,1,PASS,0
529,domain_scaling_theme,7,PASS,0
530,domain_lifecycle,2,PASS,0
531,domain_navigation,8,PASS,0
532,domain_dialog_inventory,5,PASS,0
533,domain_accessibility,0,PASS,0
534,domain_keyboard,3,PASS,0
535,domain_localization,4,PASS,0
536,domain_geometry,7,PASS,0
537,domain_safety,5,PASS,0
538,domain_workflows,1,PASS,0
539,domain_scaling_theme,7,PASS,0
540,domain_lifecycle,2,PASS,0
541,domain_navigation,8,PASS,0
542,domain_dialog_inventory,5,PASS,0
543,domain_accessibility,1,PASS,0
544,domain_keyboard,3,PASS,0
545,domain_localization,4,PASS,0
546,domain_geometry,2,PASS,0
547,domain_safety,4,PASS,0
548,domain_workflows,2,PASS,0
549,domain_scaling_theme,7,PASS,0
550,domain_lifecycle,2,PASS,0
551,domain_navigation,8,PASS,0
552,domain_dialog_inventory,5,PASS,0
553,domain_accessibility,1,PASS,0
554,domain_keyboard,3,PASS,0
555,domain_localization,4,PASS,0
556,domain_geometry,63,PASS,0
557,domain_safety,14,PASS,0
558,domain_workflows,1,PASS,0
559,domain_scaling_theme,7,PASS,0
560,domain_lifecycle,2,PASS,0
561,domain_navigation,8,PASS,0
562,domain_dialog_inventory,5,PASS,0
563,domain_accessibility,1,PASS,0
564,domain_keyboard,3,PASS,0
565,domain_localization,4,PASS,0
566,domain_geometry,5,PASS,0
567,domain_safety,12,PASS,0
568,domain_workflows,1,PASS,0
569,domain_scaling_theme,7,PASS,0
570,domain_lifecycle,2,PASS,0
571,domain_navigation,8,PASS,0
572,domain_dialog_inventory,5,PASS,0
573,domain_accessibility,0,PASS,0
574,domain_keyboard,3,PASS,0
575,domain_localization,4,PASS,0
576,domain_geometry,9,PASS,0
577,domain_safety,3,PASS,0
578,domain_workflows,1,PASS,0
579,domain_scaling_theme,7,PASS,0
580,domain_lifecycle,2,PASS,0
581,domain_navigation,8,PASS,0
582,domain_dialog_inventory,5,PASS,0
583,domain_accessibility,1,PASS,0
584,domain_keyboard,3,PASS,0
585,domain_localization,4,PASS,0
586,domain_geometry,26,PASS,0
587,domain_safety,13,PASS,0
588,domain_workflows,1,PASS,0
589,domain_scaling_theme,7,PASS,0
590,domain_lifecycle,2,PASS,0
591,domain_navigation,8,PASS,0
592,domain_dialog_inventory,5,PASS,0
593,domain_accessibility,4,PASS,0
594,domain_keyboard,3,PASS,0
595,domain_localization,4,PASS,0
596,domain_geometry,32,PASS,0
597,domain_safety,8,PASS,0
598,domain_workflows,1,PASS,0
599,domain_scaling_theme,7,PASS,0
600,domain_lifecycle,2,PASS,0
601,domain_navigation,8,PASS,0
602,domain_dialog_inventory,5,PASS,0
603,domain_accessibility,0,PASS,0
604,domain_keyboard,3,PASS,0
605,domain_localization,4,PASS,0
606,domain_geometry,55,PASS,0
607,domain_safety,5,PASS,0
608,domain_workflows,1,PASS,0
609,domain_scaling_theme,7,PASS,0
610,domain_lifecycle,2,PASS,0
611,domain_navigation,8,PASS,0
612,domain_dialog_inventory,5,PASS,0
613,domain_accessibility,3,PASS,0
614,domain_keyboard,3,PASS,0
615,domain_localization,4,PASS,0
616,domain_geometry,18,PASS,0
617,domain_safety,7,PASS,0
618,domain_workflows,2,PASS,0
619,domain_scaling_theme,7,PASS,0
620,domain_lifecycle,2,PASS,0
621,domain_navigation,8,PASS,0
622,domain_dialog_inventory,5,PASS,0
623,domain_accessibility,2,PASS,0
624,domain_keyboard,3,PASS,0
625,domain_localization,4,PASS,0
626,domain_geometry,9,PASS,0
627,domain_safety,9,PASS,0
628,domain_workflows,1,PASS,0
629,domain_scaling_theme,7,PASS,0
630,domain_lifecycle,2,PASS,0
631,domain_navigation,8,PASS,0
632,domain_dialog_inventory,5,PASS,0
633,domain_accessibility,9,PASS,0
634,domain_keyboard,3,PASS,0
635,domain_localization,4,PASS,0
636,domain_geometry,33,PASS,0
637,domain_safety,5,PASS,0
638,domain_workflows,1,PASS,0
639,domain_scaling_theme,7,PASS,0
640,domain_lifecycle,2,PASS,0
641,domain_navigation,8,PASS,0
642,domain_dialog_inventory,5,PASS,0
643,domain_accessibility,4,PASS,0
644,domain_keyboard,3,PASS,0
645,domain_localization,4,PASS,0
646,domain_geometry,15,PASS,0
647,domain_safety,14,PASS,0
648,domain_workflows,2,PASS,0
649,domain_scaling_theme,7,PASS,0
650,domain_lifecycle,2,PASS,0
651,domain_navigation,8,PASS,0
652,domain_dialog_inventory,5,PASS,0
653,domain_accessibility,1,PASS,0
654,domain_keyboard,3,PASS,0
655,domain_localization,4,PASS,0
656,domain_geometry,6,PASS,0
657,domain_safety,8,PASS,0
658,domain_workflows,1,PASS,0
659,domain_scaling_theme,7,PASS,0
660,domain_lifecycle,2,PASS,0
661,domain_navigation,8,PASS,0
662,domain_dialog_inventory,5,PASS,0
663,domain_accessibility,2,PASS,0
664,domain_keyboard,3,PASS,0
665,domain_localization,4,PASS,0
666,domain_geometry,89,PASS,0
667,domain_safety,8,PASS,0
668,domain_workflows,1,PASS,0
669,domain_scaling_theme,7,PASS,0
670,domain_lifecycle,2,PASS,0
671,domain_navigation,8,PASS,0
672,domain_dialog_inventory,5,PASS,0
673,domain_accessibility,9,PASS,0
674,domain_keyboard,3,PASS,0
675,domain_localization,4,PASS,0
676,domain_geometry,32,PASS,0
677,domain_safety,2,PASS,0
678,domain_workflows,1,PASS,0
679,domain_scaling_theme,7,PASS,0
680,domain_lifecycle,2,PASS,0
681,domain_navigation,8,PASS,0
682,domain_dialog_inventory,5,PASS,0
683,domain_accessibility,7,PASS,0
684,domain_keyboard,3,PASS,0
685,domain_localization,4,PASS,0
686,domain_geometry,18,PASS,0
687,domain_safety,26,PASS,0
688,domain_workflows,1,PASS,0
689,domain_scaling_theme,7,PASS,0
690,domain_lifecycle,2,PASS,0
691,domain_navigation,8,PASS,0
692,domain_dialog_inventory,5,PASS,0
693,domain_accessibility,2,PASS,0
694,domain_keyboard,3,PASS,0
695,domain_localization,4,PASS,0
696,domain_geometry,6,PASS,0
697,domain_safety,3,PASS,0
698,domain_workflows,1,PASS,0
699,domain_scaling_theme,7,PASS,0
700,domain_lifecycle,2,PASS,0
701,domain_navigation,8,PASS,0
702,domain_dialog_inventory,5,PASS,0
703,domain_accessibility,2,PASS,0
704,domain_keyboard,3,PASS,0
705,domain_localization,4,PASS,0
706,domain_geometry,9,PASS,0
707,domain_safety,7,PASS,0
708,domain_workflows,1,PASS,0
709,domain_scaling_theme,7,PASS,0
710,domain_lifecycle,2,PASS,0
711,domain_navigation,8,PASS,0
712,domain_dialog_inventory,5,PASS,0
713,domain_accessibility,1,PASS,0
714,domain_keyboard,3,PASS,0
715,domain_localization,4,PASS,0
716,domain_geometry,19,PASS,0
717,domain_safety,6,PASS,0
718,domain_workflows,2,PASS,0
719,domain_scaling_theme,7,PASS,0
720,domain_lifecycle,2,PASS,0
721,domain_navigation,8,PASS,0
722,domain_dialog_inventory,5,PASS,0
723,domain_accessibility,1,PASS,0
724,domain_keyboard,3,PASS,0
725,domain_localization,4,PASS,0
726,domain_geometry,34,PASS,0
727,domain_safety,4,PASS,0
728,domain_workflows,1,PASS,0
729,domain_scaling_theme,7,PASS,0
730,domain_lifecycle,2,PASS,0
731,domain_navigation,8,PASS,0
732,domain_dialog_inventory,5,PASS,0
733,domain_accessibility,3,PASS,0
734,domain_keyboard,3,PASS,0
735,domain_localization,4,PASS,0
736,domain_geometry,13,PASS,0
737,domain_safety,5,PASS,0
738,domain_workflows,1,PASS,0
739,domain_scaling_theme,7,PASS,0
740,domain_lifecycle,2,PASS,0
741,domain_navigation,8,PASS,0
742,domain_dialog_inventory,5,PASS,0
743,domain_accessibility,6,PASS,0
744,domain_keyboard,3,PASS,0
745,domain_localization,4,PASS,0
746,domain_geometry,8,PASS,0
747,domain_safety,4,PASS,0
748,domain_workflows,2,PASS,0
749,domain_scaling_theme,7,PASS,0
750,domain_lifecycle,2,PASS,0
751,domain_navigation,8,PASS,0
752,domain_dialog_inventory,5,PASS,0
753,domain_accessibility,7,PASS,0
754,domain_keyboard,3,PASS,0
755,domain_localization,4,PASS,0
756,domain_geometry,32,PASS,0
757,domain_safety,8,PASS,0
758,domain_workflows,1,PASS,0
759,domain_scaling_theme,8,PASS,0
760,domain_lifecycle,2,PASS,0
761,domain_navigation,8,PASS,0
762,domain_dialog_inventory,5,PASS,0
763,domain_accessibility,4,PASS,0
764,domain_keyboard,3,PASS,0
765,domain_localization,4,PASS,0
766,domain_geometry,9,PASS,0
767,domain_safety,3,PASS,0
768,domain_workflows,1,PASS,0
769,domain_scaling_theme,7,PASS,0
770,domain_lifecycle,2,PASS,0
771,domain_navigation,8,PASS,0
772,domain_dialog_inventory,5,PASS,0
773,domain_accessibility,4,PASS,0
774,domain_keyboard,3,PASS,0
775,domain_localization,4,PASS,0
776,domain_geometry,7,PASS,0
777,domain_safety,10,PASS,0
778,domain_workflows,1,PASS,0
779,domain_scaling_theme,7,PASS,0
780,domain_lifecycle,2,PASS,0
