loop,domain,checks,result,detail
33,d3_form_accessibility,1,PASS,Betrag 3
34,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
35,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
36,d6_theme_contrast,19,PASS,dunkel_oled_kontrastarm.json: 
37,d7_icon_targets,1,PASS,views/bank_import_analysis_worker.py: 
38,d8_scaling,1,PASS,views/bank_import_analysis_worker.py: setFixedSize auf Dialog
39,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
40,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
41,d1_release_cleaner,8,PASS,
42,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
43,d3_form_accessibility,1,PASS,Betrag 4
44,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
45,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
46,d6_theme_contrast,19,PASS,dunkel_warm_sepia.json: 
47,d7_icon_targets,1,PASS,views/bank_import_dialog_runtime.py: 
48,d8_scaling,1,PASS,views/bank_import_dialog_runtime.py: setFixedSize auf Dialog
49,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
50,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
51,d1_release_cleaner,8,PASS,
52,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
53,d3_form_accessibility,1,PASS,Betrag 5
54,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
55,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
56,d6_theme_contrast,19,PASS,gruvbox_dunkel.json: 
57,d7_icon_targets,1,PASS,views/bank_import_dialog_v4.py: 
58,d8_scaling,1,PASS,views/bank_import_dialog_v4.py: setFixedSize auf Dialog
59,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
60,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
61,d1_release_cleaner,8,PASS,
62,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
63,d3_form_accessibility,1,PASS,Betrag 6
64,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
65,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
66,d6_theme_contrast,19,PASS,gruvbox_hell.json: 
67,d7_icon_targets,1,PASS,views/bridge_share_dialog.py: 
68,d8_scaling,1,PASS,views/bridge_share_dialog.py: setFixedSize auf Dialog
69,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
70,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
71,d1_release_cleaner,8,PASS,
72,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
73,d3_form_accessibility,1,PASS,Betrag 7
74,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
75,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
76,d6_theme_contrast,19,PASS,hell_gruen.json: 
77,d7_icon_targets,1,PASS,views/budget_adjustment_dialog.py: 
78,d8_scaling,1,PASS,views/budget_adjustment_dialog.py: setFixedSize auf Dialog
79,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
80,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
81,d1_release_cleaner,8,PASS,
82,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
83,d3_form_accessibility,1,PASS,Betrag 8
84,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
85,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
86,d6_theme_contrast,19,PASS,hell_warm_sepia.json: 
87,d7_icon_targets,1,PASS,views/budget_entry_dialog_extended.py: 
88,d8_scaling,1,PASS,views/budget_entry_dialog_extended.py: setFixedSize auf Dialog
89,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
90,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
91,d1_release_cleaner,8,PASS,
92,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
93,d3_form_accessibility,1,PASS,Betrag 9
94,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
95,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
96,d6_theme_contrast,19,PASS,kontrast_schwarzweiss.json: 
97,d7_icon_targets,1,PASS,views/budget_fill_dialog.py: 
98,d8_scaling,1,PASS,views/budget_fill_dialog.py: setFixedSize auf Dialog
99,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
100,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
101,d1_release_cleaner,8,PASS,
102,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
103,d3_form_accessibility,1,PASS,Betrag 10
104,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
105,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
106,d6_theme_contrast,19,PASS,mitternacht_violett.json: 
107,d7_icon_targets,1,PASS,views/category_delete_dialog.py: 
108,d8_scaling,1,PASS,views/category_delete_dialog.py: setFixedSize auf Dialog
109,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
110,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
111,d1_release_cleaner,8,PASS,
112,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
113,d3_form_accessibility,1,PASS,Betrag 11
114,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
115,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
116,d6_theme_contrast,19,PASS,modern_cyan_v2.json: 
117,d7_icon_targets,1,PASS,views/category_excel_io.py: 
118,d8_scaling,1,PASS,views/category_excel_io.py: setFixedSize auf Dialog
119,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
120,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
121,d1_release_cleaner,8,PASS,
122,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
123,d3_form_accessibility,1,PASS,Betrag 12
124,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
125,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
126,d6_theme_contrast,19,PASS,monokai_dunkel.json: 
127,d7_icon_targets,1,PASS,views/category_manager_dialog.py: 
128,d8_scaling,1,PASS,views/category_manager_dialog.py: setFixedSize auf Dialog
129,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
130,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
131,d1_release_cleaner,8,PASS,
132,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
133,d3_form_accessibility,1,PASS,Betrag 13
134,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
135,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
136,d6_theme_contrast,19,PASS,nord_dunkel.json: 
137,d7_icon_targets,1,PASS,views/category_picker.py: 
138,d8_scaling,1,PASS,views/category_picker.py: setFixedSize auf Dialog
139,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
140,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
141,d1_release_cleaner,8,PASS,
142,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
143,d3_form_accessibility,1,PASS,Betrag 14
144,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
145,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
146,d6_theme_contrast,19,PASS,ocean_dunkel.json: 
147,d7_icon_targets,1,PASS,views/category_properties_dialog.py: 
148,d8_scaling,1,PASS,views/category_properties_dialog.py: setFixedSize auf Dialog
149,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
150,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
151,d1_release_cleaner,8,PASS,
152,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
153,d3_form_accessibility,1,PASS,Betrag 15
154,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
155,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
156,d6_theme_contrast,19,PASS,pastell_sanft.json: 
157,d7_icon_targets,1,PASS,views/category_search_picker.py: 
158,d8_scaling,1,PASS,views/category_search_picker.py: setFixedSize auf Dialog
159,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
160,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
161,d1_release_cleaner,8,PASS,
162,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
163,d3_form_accessibility,1,PASS,Betrag 16
164,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
165,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
166,d6_theme_contrast,19,PASS,solarized_dunkel.json: 
167,d7_icon_targets,1,PASS,views/cockpit_charts.py: 
168,d8_scaling,1,PASS,views/cockpit_charts.py: setFixedSize auf Dialog
169,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
170,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
171,d1_release_cleaner,8,PASS,
172,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
173,d3_form_accessibility,1,PASS,Betrag 17
174,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
175,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
176,d6_theme_contrast,19,PASS,solarized_hell.json: 
177,d7_icon_targets,1,PASS,views/cockpit_sections.py: 
178,d8_scaling,1,PASS,views/cockpit_sections.py: setFixedSize auf Dialog
179,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
180,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
181,d1_release_cleaner,8,PASS,
182,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
183,d3_form_accessibility,1,PASS,Betrag 18
184,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
185,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
186,d6_theme_contrast,19,PASS,standard_dunkel.json: 
187,d7_icon_targets,1,PASS,views/copy_year_dialog.py: 
188,d8_scaling,1,PASS,views/copy_year_dialog.py: setFixedSize auf Dialog
189,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
190,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
191,d1_release_cleaner,8,PASS,
192,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
193,d3_form_accessibility,1,PASS,Betrag 19
194,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
195,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
196,d6_theme_contrast,19,PASS,standard_hell.json: 
197,d7_icon_targets,1,PASS,views/database_management_dialog.py: 
198,d8_scaling,1,PASS,views/database_management_dialog.py: setFixedSize auf Dialog
199,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
200,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
201,d1_release_cleaner,8,PASS,
202,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
203,d3_form_accessibility,1,PASS,Betrag 20
204,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
205,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
206,d6_theme_contrast,19,PASS,v2_dunkel_graphite_cyan.json: 
207,d7_icon_targets,1,PASS,views/delegates/badge_delegate.py: 
208,d8_scaling,1,PASS,views/delegates/badge_delegate.py: setFixedSize auf Dialog
209,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
210,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
211,d1_release_cleaner,8,PASS,
212,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
213,d3_form_accessibility,1,PASS,Betrag 21
214,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
215,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
216,d6_theme_contrast,19,PASS,v2_dunkel_purple_night.json: 
217,d7_icon_targets,1,PASS,views/export_dialog.py: 
218,d8_scaling,1,PASS,views/export_dialog.py: setFixedSize auf Dialog
219,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
220,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
221,d1_release_cleaner,8,PASS,
222,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
223,d3_form_accessibility,1,PASS,Betrag 22
224,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
225,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
226,d6_theme_contrast,19,PASS,v2_hell_neon_cyan.json: 
227,d7_icon_targets,1,PASS,views/favorites_dashboard_dialog.py: 
228,d8_scaling,1,PASS,views/favorites_dashboard_dialog.py: setFixedSize auf Dialog
229,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
230,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
231,d1_release_cleaner,8,PASS,
232,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
233,d3_form_accessibility,1,PASS,Betrag 23
234,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
235,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
236,d6_theme_contrast,19,PASS,v2_hell_pastel_mint.json: 
237,d7_icon_targets,1,PASS,views/global_search_dialog.py: 
238,d8_scaling,1,PASS,views/global_search_dialog.py: setFixedSize auf Dialog
239,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
240,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
241,d1_release_cleaner,8,PASS,
242,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
243,d3_form_accessibility,1,PASS,Betrag 24
244,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
245,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
246,d6_theme_contrast,19,PASS,v2_hell_warm_sand.json: 
247,d7_icon_targets,1,PASS,views/help_content.py: 
248,d8_scaling,1,PASS,views/help_content.py: setFixedSize auf Dialog
249,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
250,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
251,d1_release_cleaner,8,PASS,
252,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
253,d3_form_accessibility,1,PASS,Betrag 25
254,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
255,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
256,d6_theme_contrast,19,PASS,warm_hell.json: 
257,d7_icon_targets,1,PASS,views/help_content_additions.py: 
258,d8_scaling,1,PASS,views/help_content_additions.py: setFixedSize auf Dialog
259,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
260,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
261,d1_release_cleaner,8,PASS,
262,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
263,d3_form_accessibility,1,PASS,Betrag 26
264,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
265,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
266,d6_theme_contrast,19,PASS,dracula_dunkel.json: 
267,d7_icon_targets,1,PASS,views/help_dialog.py: 
268,d8_scaling,1,PASS,views/help_dialog.py: setFixedSize auf Dialog
269,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
270,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
271,d1_release_cleaner,8,PASS,
272,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
273,d3_form_accessibility,1,PASS,Betrag 27
274,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
275,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
276,d6_theme_contrast,19,PASS,dunkel_blau.json: 
277,d7_icon_targets,1,PASS,views/help_launcher.py: 
278,d8_scaling,1,PASS,views/help_launcher.py: setFixedSize auf Dialog
279,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
280,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
281,d1_release_cleaner,8,PASS,
282,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
283,d3_form_accessibility,1,PASS,Betrag 28
284,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
285,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
286,d6_theme_contrast,19,PASS,dunkel_gruen.json: 
287,d7_icon_targets,1,PASS,views/help_menu.py: 
288,d8_scaling,1,PASS,views/help_menu.py: setFixedSize auf Dialog
289,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
290,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
291,d1_release_cleaner,8,PASS,
292,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
293,d3_form_accessibility,1,PASS,Betrag 29
294,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
295,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
296,d6_theme_contrast,19,PASS,dunkel_oled_kontrastarm.json: 
297,d7_icon_targets,1,PASS,views/import_progress_area.py: 
298,d8_scaling,1,PASS,views/import_progress_area.py: setFixedSize auf Dialog
299,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
300,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
301,d1_release_cleaner,8,PASS,
302,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
303,d3_form_accessibility,1,PASS,Betrag 30
304,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
305,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
306,d6_theme_contrast,19,PASS,dunkel_warm_sepia.json: 
307,d7_icon_targets,1,PASS,views/language_select_dialog.py: 
308,d8_scaling,1,PASS,views/language_select_dialog.py: setFixedSize auf Dialog
309,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
310,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
311,d1_release_cleaner,8,PASS,
312,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
313,d3_form_accessibility,1,PASS,Betrag 31
314,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
315,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
316,d6_theme_contrast,19,PASS,gruvbox_dunkel.json: 
317,d7_icon_targets,1,PASS,views/lifeplanner_import_dialog.py: 
318,d8_scaling,1,PASS,views/lifeplanner_import_dialog.py: setFixedSize auf Dialog
319,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
320,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
321,d1_release_cleaner,8,PASS,
322,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
323,d3_form_accessibility,1,PASS,Betrag 32
324,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
325,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
326,d6_theme_contrast,19,PASS,gruvbox_hell.json: 
327,d7_icon_targets,1,PASS,views/login_dialog.py: 
328,d8_scaling,1,PASS,views/login_dialog.py: setFixedSize auf Dialog
329,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
330,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
331,d1_release_cleaner,8,PASS,
332,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
333,d3_form_accessibility,1,PASS,Betrag 33
334,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
335,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
336,d6_theme_contrast,19,PASS,hell_gruen.json: 
337,d7_icon_targets,1,PASS,views/main_window.py: 
338,d8_scaling,1,PASS,views/main_window.py: setFixedSize auf Dialog
339,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
340,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
341,d1_release_cleaner,8,PASS,
342,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
343,d3_form_accessibility,1,PASS,Betrag 34
344,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
345,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
346,d6_theme_contrast,19,PASS,hell_warm_sepia.json: 
347,d7_icon_targets,1,PASS,views/main_window_diagnostics.py: 
348,d8_scaling,1,PASS,views/main_window_diagnostics.py: setFixedSize auf Dialog
349,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
350,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
351,d1_release_cleaner,8,PASS,
352,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
353,d3_form_accessibility,1,PASS,Betrag 35
354,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
355,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
356,d6_theme_contrast,19,PASS,kontrast_schwarzweiss.json: 
357,d7_icon_targets,1,PASS,views/main_window_dialogs.py: 
358,d8_scaling,1,PASS,views/main_window_dialogs.py: setFixedSize auf Dialog
